Tipo de Incidencia;Prioridad;Campo personalizado (Prioridad SD);Clave de incidencia;ID de la incidencia;Resumen;Campo personalizado (Tipo de atención SD);Informador;Creada;Campo personalizado (Aplicativo);Campo personalizado (Área);Estado;Responsable;Actualizada;Campo personalizado (Clasificación);Campo personalizado (Atendido por);Campo personalizado (Especialista);Resolución;Campo personalizado (Tipo de Cliente);Resuelta;Campo personalizado (Producto SD);Campo personalizado (Fecha Cerrado);Campo personalizado (Fecha de Aprobación a Cliente)
Incidente;Baja;999;SD-77531;282439;VIDA LEY_ NO PERMITE CREAR CLIENTE;ACTIVACIÓN O CREACIÓN DE USUARIOS;csotelo;15/12/2025 14:58;Plataforma Digital -> PD - Vida Ley;Comercial Masivos;Cerrado;csotelo;22/12/2025 17:34;Solicitud;Service Desk 2;soportedigital;Terminado;;22/12/2025 17:34;SCTR;;
Incidente;Baja;999;SD-78115;285053;VIDA LEY_NO FIGURAN DOCUMENTOS;ACTUALIZACIÓN DE CUPONES;sgarciac;29/12/2025 11:38;Plataforma Digital -> PD - Vida Ley;Comercial Masivos;Cerrado;sgarciac;29/12/2025 13:06;Solicitud;Service Desk 4;soportedigital;Terminado;;29/12/2025 13:06;Vida Ley;;
Incidente;Baja;999;SD-76723;277790;VL - NO SE APLICA EL PAGO;ACTUALIZACIÓN DE CUPONES;mcalloapaza;25/11/2025 10:51;Plataforma Digital -> PD - Vida Ley;Comercial Masivos;Cerrado;mcalloapaza;26/11/2025 17:55;Solicitud;Service Desk 4;soportedigital;Terminado;;26/11/2025 17:55;Vida Ley;;
Incidente;Baja;999;SD-77379;281467;VL - NO SE GENERAN DOCUMENTOS / 6000030222 CONSORCIO HUARAL;ACTUALIZACIÓN DE CUPONES;mtocto;10/12/2025 15:20;Plataforma Digital -> PD - Vida Ley;Comercial Masivos;Cerrado;mtocto;15/12/2025 02:00;Solicitud;Service Desk 4;soportedigital;Terminado;Privado;15/12/2025 02:00;Vida Ley;;
Incidente;Baja;999;SD-79659;291257;VIDA LEY_ NO PERMITEEMITIR;ACTUALIZACIÓN DE DATOS DE CLIENTES;csotelo;30/01/2026 15:46;Plataforma Digital -> PD - Vida Ley;Comercial Masivos;Cerrado;csotelo;6/02/2026 02:00;Solicitud;Service Desk 2;soportedigital;Terminado;;6/02/2026 02:00;Vida Ley;;
Incidente;Baja;2;SD-78977;288404;ERROT TRAMAITE ;ACTUALIZACIÓN DE DATOS DE CLIENTES;ccortez;15/01/2026 18:38;Plataforma Digital -> PD - Vida Ley;Operaciones;Cerrado;ccortez;19/01/2026 17:32;Solicitud;Service Desk 3;soportedigital;Terminado;;16/01/2026 13:49;Vida Ley;;
Incidente;Baja;999;SD-75769;272814;tramite 80863;ACTUALIZACIÓN DE DATOS DE CLIENTES;ccortez;6/11/2025 15:30;Plataforma Digital -> PD - Vida Ley;Operaciones;Cerrado;ccortez;10/11/2025 02:00;Solicitud;Service Desk 3;soportedigital;Terminado;;10/11/2025 02:00;Vida Ley;;
Incidente;Baja;999;SD-75295;270623;80495 error tramite ;ACTUALIZACIÓN DE DATOS DE CLIENTES;ccortez;29/10/2025 15:57;Plataforma Digital -> PD - Vida Ley;Operaciones;Cerrado;ccortez;31/10/2025 17:05;Solicitud;Service Desk 3;soportedigital;Terminado;;31/10/2025 17:05;Vida Ley;;
Incidente;Baja;999;SD-76225;275145;VidaLey_Cotizacion no aparece en Técnica;ACTUALIZACIÓN DE ESTADO;ydioses;14/11/2025 15:21;Plataforma Digital -> PD - Vida Ley;Comercial Masivos;Cerrado;ydioses;18/11/2025 10:53;Solicitud;Service Desk 3;soportedigital;Terminado;;17/11/2025 15:21;Vida Ley;;
Incidente;Baja;999;SD-74761;267938;CONSTANCIA Y FACTURA VIDA LEY ;ACTUALIZACIÓN DE ESTADO;lsamaniego;20/10/2025 09:32;Plataforma Digital -> PD - Vida Ley;;Cerrado;lsamaniego;22/10/2025 13:28;Solicitud;Service Desk 2;soportedigital;Terminado;;22/10/2025 13:28;Vida Ley;;
Incidente;Baja;999;SD-75705;272461;VL- actualizar datos/ 6000031465 - error ;ACTUALIZAR DATOS DEL CERTIFICADO;mtocto;5/11/2025 14:36;Plataforma Digital -> PD - Vida Ley;Comercial Masivos;Cerrado;mtocto;10/11/2025 15:31;Solicitud;Service Desk 3;soportedigital;Terminado;Privado;10/11/2025 15:31;Vida Ley;;
Incidente;Baja;999;SD-75849;273151;Corrección de constancia de asegurados Vida Ley   / RODRIGUEZ ROMAN DANIEL ALEXANDER;ACTUALIZAR DATOS DEL CERTIFICADO;aricalde;7/11/2025 14:00;Plataforma Digital -> PD - Vida Ley;Soluciones de Clientes;Cerrado;aricalde;11/11/2025 10:34;Solicitud;Service Desk 3;soportedigital;Terminado;;11/11/2025 10:34;Vida Ley;;
Incidente;Baja;999;SD-78358;285979;VL - NO APARECE SALDO DE NC EN EL SISTEMA;ACTUALIZAR DATOS DEL COMPROBANTE;mcalloapaza;5/01/2026 09:23;Plataforma Digital -> PD - Vida Ley;Comercial Masivos;Cerrado;mcalloapaza;8/01/2026 18:11;Solicitud;Squad - Mesa Vida Ley;soportedigital;Terminado;;8/01/2026 18:10;Vida Ley;;
Incidente;Baja;999;SD-78533;286588;Facturas VL figuran como PENDIENTES pese a tener el sello CANCELADO;ACTUALIZAR DATOS DEL COMPROBANTE;jhinostroza;7/01/2026 09:00;Plataforma Digital -> PD - Vida Ley;Comercial Masivos;Cerrado;jhinostroza;9/01/2026 17:45;Solicitud;Service Desk 2;soportedigital;Terminado;;9/01/2026 17:45;Vida Ley;;
